# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
3.370000000000000107e+00 5.866633214157505882e-02 3.185561100454789574e-01 -9.241159604960699769e-02
3.379999999999999893e+00 2.679630071537977137e-02 3.168745468044769642e-01 -9.082793909960197587e-02
3.390000000000000124e+00 -5.377995922240583378e-03 3.123744237820705871e-01 -8.914045810982440532e-02
3.399999999999999911e+00 -3.597399425310322113e-02 3.052740046609285218e-01 -8.734963726950392693e-02
3.410000000000000142e+00 -6.324568074344362467e-02 2.958438524971799266e-01 -8.545611894888797966e-02
3.419999999999999929e+00 -8.567297033414277008e-02 2.843980393336681400e-01 -8.346070529991199416e-02
3.430000000000000160e+00 -1.020389843709813699e-01 2.712821577169555742e-01 -8.136435879707178132e-02
3.439999999999999947e+00 -1.114907847457353302e-01 2.568591629058585291e-01 -7.916820307643443466e-02
3.450000000000000178e+00 -1.135800954488720566e-01 2.414941631749267792e-01 -7.687352343451245296e-02
3.459999999999999964e+00 -1.082817111594800152e-01 2.255392883718105312e-01 -7.448176697994682294e-02
3.470000000000000195e+00 -9.598858610443822270e-02 2.093197059799356552e-01 -7.199454243210758053e-02
3.479999999999999982e+00 -7.748393973175458915e-02 1.931217259984076839e-01 -6.941361956154708246e-02
3.490000000000000213e+00 -5.389203100265171908e-02 1.771837515450807865e-01 -6.674092826915725696e-02
3.500000000000000000e+00 -2.661046474300875209e-02 1.616906049911807919e-01 -6.397855730504911631e-02
3.510000000000000231e+00 2.772067555663167843e-03 1.467715057268465517e-01 -6.112875261827598744e-02
3.520000000000000018e+00 3.256790247501557822e-02 1.325017126926804067e-01 -5.819391534275426825e-02
3.530000000000000249e+00 6.108713357737667604e-02 1.189075901341834773e-01 -5.517659942430792885e-02
3.540000000000000036e+00 8.673348675002739983e-02 1.059746252814841305e-01 -5.207950888485950863e-02
3.550000000000000266e+00 1.080939639006884417e-01 9.365773653917804087e-02 -4.890549473224631988e-02
3.560000000000000053e+00 1.240172753380816284e-01 8.189307218532385080e-02 -4.565755152011281154e-02
